First Name,Last Name,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA,Inducted,HOF Prediction,Yes HOF Probability
Pete,Alexander,373.0,208.0,696.0,599.0,437.0,90.0,32.0,4868.0,1476.0,164.0,951.0,2198.0,39.0,70.0,1851.0,5190.0,0.641996557659208,2.31125131440589,1.12119460500963,2.55953757225434,1,1,99.99985694885254
Chief,Bender,212.0,127.0,459.0,334.0,255.0,40.0,34.0,2645.0,823.0,40.0,712.0,1711.0,72.0,102.0,1110.0,3017.0,0.625368731563422,2.40308988764045,1.1126947298641,2.45508783559828,1,1,99.9958872795105
Bert,Blyleven,287.0,250.0,692.0,685.0,242.0,60.0,0.0,4632.0,1830.0,430.0,1322.0,3701.0,114.0,155.0,2029.0,4970.0,0.534450651769088,2.79954614220877,1.19798792756539,3.31388329979879,1,1,99.95348453521729
Mordecai,Brown,239.0,130.0,481.0,332.0,271.0,55.0,49.0,2708.0,725.0,43.0,673.0,1375.0,59.0,63.0,1044.0,3172.33333333333,0.64769647696477,2.04309063893016,1.06577703057686,2.05684564463591,1,1,99.99494552612305
Jim,Bunning,224.0,184.0,591.0,519.0,151.0,40.0,16.0,3433.0,1366.0,372.0,1000.0,2855.0,47.0,160.0,1527.0,3760.33333333333,0.549019607843137,2.855,1.17888485063381,3.26939101143516,1,1,99.98893737792969
Steve,Carlton,329.0,244.0,741.0,709.0,254.0,55.0,2.0,4672.0,1864.0,414.0,1833.0,4136.0,183.0,53.0,2130.0,5217.33333333333,0.574171029668412,2.25641025641026,1.24680552006133,3.21543572706363,1,1,99.9811589717865
Jack,Chesbro,198.0,132.0,392.0,332.0,260.0,35.0,5.0,2647.0,864.0,39.0,690.0,1265.0,62.0,113.0,1206.0,2896.66666666667,0.6,1.83333333333333,1.15201380897583,2.68446490218642,1,1,99.42314624786377
John,Clarkson,328.0,178.0,531.0,518.0,485.0,37.0,5.0,4295.0,1417.0,159.0,1191.0,1978.0,182.0,80.0,2384.0,4536.33333333333,0.648221343873518,1.6607892527288,1.20934675582335,2.81130134469836,1,1,99.99709129333496
Stan,Coveleski,215.0,142.0,450.0,385.0,224.0,38.0,21.0,3055.0,990.0,66.0,802.0,981.0,35.0,30.0,1237.0,3082.0,0.602240896358543,1.22319201995012,1.2514600908501,2.89097988319273,1,1,99.06637668609619
Dizzy,Dean,150.0,83.0,317.0,230.0,154.0,26.0,30.0,1919.0,661.0,95.0,453.0,1163.0,12.0,27.0,774.0,1967.33333333333,0.643776824034335,2.5673289183223,1.20569298542867,3.02389020670959,1,1,99.97745156288147
Don,Drysdale,209.0,166.0,518.0,465.0,167.0,49.0,6.0,3084.0,1124.0,280.0,855.0,2486.0,82.0,154.0,1292.0,3432.0,0.557333333333333,2.90760233918129,1.14772727272727,2.94755244755245,1,1,99.91901516914368
