First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Moises,Alou,1942.0,7037.0,1109.0,2134.0,421.0,39.0,332.0,1287.0,106.0,737.0,894.0,48.0,9.0,82.0,0.30325422765383,0.369306680161943,0.515702714224812,0,1,63.63765597343445
Ginger,Beaumont,1463.0,5660.0,955.0,1759.0,182.0,82.0,39.0,617.0,254.0,425.0,314.0,30.0,166.0,0.0,0.310777385159011,0.362060506950123,0.392579505300353,0,1,69.28642392158508
Ossie,Bluege,1867.0,6440.0,883.0,1751.0,276.0,67.0,43.0,848.0,140.0,723.0,515.0,71.0,218.0,0.0,0.271894409937888,0.351810893005253,0.355590062111801,0,1,67.11367964744568
Ellis,Burks,2000.0,7232.0,1253.0,2107.0,402.0,63.0,352.0,1206.0,181.0,793.0,1340.0,60.0,29.0,62.0,0.291344026548673,0.363323922916411,0.510370575221239,0,1,74.41990971565247
Gary,Carter,2296.0,7971.0,1025.0,2092.0,371.0,31.0,324.0,1225.0,39.0,848.0,997.0,68.0,33.0,99.0,0.262451386275248,0.334742933452036,0.438715343118806,1,1,71.3149905204773
Cupid,Childs,1457.0,5622.0,1214.0,1721.0,205.0,101.0,20.0,743.0,269.0,991.0,228.0,63.0,90.0,0.0,0.306118818925649,0.415668064709407,0.389185343294201,0,1,50.712668895721436
Will,Clark,1976.0,7173.0,1186.0,2176.0,440.0,47.0,284.0,1205.0,67.0,937.0,1190.0,59.0,13.0,101.0,0.303359821553046,0.383555018137848,0.496584413773874,0,1,59.93677377700806
Patsy,Donovan,1824.0,7505.0,1321.0,2256.0,208.0,75.0,16.0,738.0,518.0,457.0,334.0,83.0,127.0,0.0,0.300599600266489,0.347545059042884,0.354696868754164,0,1,60.17024517059326
Jack,Doyle,1569.0,6055.0,977.0,1811.0,316.0,64.0,25.0,971.0,518.0,440.0,281.0,49.0,45.0,0.0,0.299091659785301,0.351466992665037,0.384805945499587,0,1,55.110567808151245
Larry,Doyle,1766.0,6509.0,960.0,1887.0,299.0,123.0,74.0,793.0,298.0,625.0,378.0,53.0,195.0,0.0,0.289906283607313,0.356894392653402,0.407743124903979,0,1,68.12627911567688
Dwight,Evans,2606.0,8996.0,1470.0,2446.0,483.0,73.0,385.0,1384.0,78.0,1391.0,1697.0,53.0,52.0,77.0,0.271898621609604,0.369877341447181,0.470208981769675,0,1,52.32850909233093
Tony,Fernandez,2158.0,7911.0,1057.0,2276.0,414.0,92.0,94.0,844.0,246.0,690.0,784.0,64.0,67.0,61.0,0.28770066995323,0.347238138895256,0.398938187334092,0,1,60.297900438308716
Larry,Gardner,1923.0,6688.0,867.0,1931.0,301.0,129.0,27.0,934.0,165.0,654.0,341.0,32.0,311.0,0.0,0.288726076555024,0.354895579061568,0.38441985645933,0,1,66.759592294693
Mike,Griffin,1513.0,5923.0,1406.0,1755.0,314.0,108.0,42.0,720.0,473.0,809.0,284.0,78.0,38.0,0.0,0.296302549383758,0.387958883994126,0.407057234509539,0,1,53.21503281593323
Stan,Hack,1938.0,7278.0,1239.0,2193.0,363.0,81.0,57.0,642.0,165.0,1092.0,466.0,21.0,115.0,0.0,0.301319043693322,0.393993564533429,0.396949711459192,0,1,50.659382343292236
