First Name,Last Name,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA,Inducted,HOF Prediction,Yes HOF Probability
Vida,Blue,209.0,161.0,502.0,473.0,143.0,37.0,2.0,2939.0,1213.0,263.0,1185.0,2175.0,103.0,23.0,1357.0,3343.33333333333,0.564864864864865,1.83544303797468,1.23349950149551,3.26530408773679,0,1,70.14434337615967
Kevin,Brown,211.0,144.0,486.0,476.0,72.0,17.0,0.0,3079.0,1185.0,208.0,901.0,2397.0,108.0,139.0,1357.0,3256.33333333333,0.594366197183099,2.66037735849057,1.2222335960692,3.27515610604975,0,1,54.453301429748535
Lew,Burdette,203.0,144.0,626.0,373.0,158.0,33.0,31.0,3186.0,1246.0,289.0,628.0,1074.0,23.0,56.0,1400.0,3067.33333333333,0.585014409221902,1.71019108280255,1.24342534231689,3.65594435992176,0,1,69.00949478149414
Tex,Hughson,96.0,54.0,225.0,156.0,99.0,19.0,17.0,1270.0,450.0,77.0,372.0,693.0,5.0,11.0,504.0,1375.66666666667,0.64,1.86290322580645,1.19360310152653,2.94402713835716,0,1,63.6713445186615
Jerry,Koosman,222.0,209.0,612.0,527.0,140.0,33.0,17.0,3635.0,1433.0,290.0,1198.0,2556.0,89.0,71.0,1608.0,3839.33333333333,0.51508120649652,2.13355592654424,1.25881229380101,3.35917694044105,0,1,53.10278534889221
Ed,Morris,171.0,122.0,311.0,307.0,297.0,29.0,1.0,2468.0,838.0,42.0,498.0,1217.0,112.0,59.0,1312.0,2678.0,0.583617747440273,2.44377510040161,1.1075429424944,2.81628080657207,0,1,55.4436981678009
Deacon,Phillippe,189.0,109.0,372.0,289.0,242.0,27.0,12.0,2518.0,749.0,41.0,363.0,929.0,45.0,59.0,1071.0,2607.0,0.634228187919463,2.55922865013774,1.10510164940545,2.58573072497123,0,1,59.84603762626648
Allie,Reynolds,182.0,107.0,434.0,309.0,137.0,36.0,49.0,2193.0,915.0,133.0,1261.0,1423.0,59.0,57.0,1026.0,2492.33333333333,0.629757785467128,1.12846946867565,1.38584993981543,3.30413267353217,0,1,64.07192349433899
Francisco,Rodriguez,52.0,53.0,948.0,0.0,0.0,0.0,437.0,738.0,310.0,98.0,389.0,1142.0,68.0,17.0,336.0,976.0,0.495238095238095,2.93573264781491,1.1547131147541,2.85860655737705,0,1,50.08595585823059
Curt,Schilling,216.0,146.0,569.0,436.0,83.0,20.0,22.0,2998.0,1253.0,347.0,711.0,3116.0,72.0,52.0,1318.0,3261.0,0.596685082872928,4.38255977496484,1.13738117141981,3.45814167433303,0,1,58.62188935279846
