First Name,Last Name,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA,Inducted,HOF Prediction,Yes HOF Probability
Babe,Adams,194.0,140.0,482.0,355.0,206.0,44.0,15.0,2841.0,917.0,68.0,430.0,1036.0,26.0,47.0,1129.0,2995.33333333333,0.580838323353293,2.4093023255814,1.09203204985533,2.75528600044514,0,1,99.5489776134491
Vida,Blue,209.0,161.0,502.0,473.0,143.0,37.0,2.0,2939.0,1213.0,263.0,1185.0,2175.0,103.0,23.0,1357.0,3343.33333333333,0.564864864864865,1.83544303797468,1.23349950149551,3.26530408773679,0,1,70.14434337615967
Kevin,Brown,211.0,144.0,486.0,476.0,72.0,17.0,0.0,3079.0,1185.0,208.0,901.0,2397.0,108.0,139.0,1357.0,3256.33333333333,0.594366197183099,2.66037735849057,1.2222335960692,3.27515610604975,0,1,54.453301429748535
Charlie,Buffinton,233.0,152.0,414.0,396.0,351.0,30.0,3.0,3344.0,1120.0,87.0,856.0,1700.0,174.0,31.0,1824.0,3404.0,0.605194805194805,1.98598130841122,1.23384253819036,2.96122209165687,0,1,95.0113594532013
Lew,Burdette,203.0,144.0,626.0,373.0,158.0,33.0,31.0,3186.0,1246.0,289.0,628.0,1074.0,23.0,56.0,1400.0,3067.33333333333,0.585014409221902,1.71019108280255,1.24342534231689,3.65594435992176,0,1,69.00949478149414
John,Candelaria,177.0,122.0,600.0,356.0,54.0,13.0,29.0,2399.0,935.0,245.0,592.0,1673.0,28.0,37.0,1038.0,2525.66666666667,0.591973244147157,2.82601351351351,1.18424178434737,3.33179358585192,0,1,96.3093638420105
Eddie,Cicotte,209.0,149.0,502.0,361.0,249.0,35.0,24.0,2897.0,853.0,32.0,827.0,1374.0,58.0,51.0,1158.0,3226.0,0.583798882681564,1.66142684401451,1.15437073775573,2.37972721636702,0,1,88.8228178024292
Roger,Clemens,354.0,184.0,709.0,707.0,118.0,46.0,0.0,4185.0,1707.0,363.0,1580.0,4672.0,143.0,159.0,1885.0,4916.66666666667,0.657992565055762,2.95696202531646,1.17254237288136,3.12467796610169,0,1,94.73629593849182
Larry,Corcoran,177.0,89.0,277.0,268.0,256.0,22.0,2.0,2147.0,626.0,68.0,496.0,1103.0,113.0,2.0,1235.0,2392.33333333333,0.665413533834586,2.22379032258065,1.10477915563606,2.35502299010729,0,1,96.94300293922424
Hooks,Dauss,222.0,182.0,538.0,388.0,245.0,22.0,40.0,3407.0,1245.0,87.0,1067.0,1201.0,48.0,121.0,1599.0,3390.66666666667,0.54950495049505,1.12558575445173,1.31950452221785,3.30465985057019,0,1,77.54179835319519
