First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Hank,Aaron,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,1402.0,1383.0,32.0,21.0,121.0,0.304998382400518,0.373949277965371,0.554513102555807,1,1,99.98308420181274
Roberto,Alomar,2379.0,9073.0,1508.0,2724.0,504.0,80.0,210.0,1134.0,474.0,1032.0,1140.0,50.0,148.0,97.0,0.300231455968257,0.371244635193133,0.442852419265954,1,1,99.99735355377197
Cap,Anson,2524.0,10281.0,1999.0,3435.0,582.0,142.0,97.0,2075.0,277.0,984.0,330.0,32.0,34.0,0.0,0.334111467756055,0.393998406656634,0.446649158642155,1,1,99.99698400497437
Luis,Aparicio,2601.0,10230.0,1335.0,2677.0,394.0,92.0,83.0,791.0,506.0,736.0,742.0,27.0,161.0,76.0,0.261681329423265,0.310777848044087,0.342521994134897,1,1,99.89305138587952
Earl,Averill,1668.0,6353.0,1224.0,2019.0,401.0,128.0,238.0,1164.0,70.0,774.0,518.0,33.0,55.0,0.0,0.317802612938769,0.394692737430168,0.533606170313238,1,1,99.99550580978394
Jeff,Bagwell,2150.0,7797.0,1517.0,2314.0,488.0,32.0,449.0,1529.0,202.0,1401.0,1558.0,128.0,3.0,102.0,0.296780813133256,0.407615613067459,0.540336026676927,1,1,99.8881995677948
Home Run,Baker,1575.0,5984.0,887.0,1838.0,315.0,103.0,96.0,987.0,235.0,473.0,268.0,50.0,153.0,0.0,0.307152406417112,0.362840018441678,0.442346256684492,1,1,99.79153275489807
Ernie,Banks,2528.0,9421.0,1305.0,2583.0,407.0,90.0,512.0,1636.0,50.0,763.0,1236.0,70.0,45.0,96.0,0.274174716059866,0.330048309178744,0.499522343700244,1,1,99.98661279678345
Jake,Beckley,2392.0,9551.0,1603.0,2938.0,473.0,244.0,87.0,1581.0,315.0,616.0,526.0,183.0,167.0,0.0,0.307611768401215,0.361062801932367,0.435556486231808,1,1,99.96830224990845
Wally,Berger,1350.0,5163.0,809.0,1550.0,299.0,59.0,242.0,898.0,36.0,435.0,694.0,38.0,27.0,0.0,0.300213054425721,0.358942512420156,0.521595971334495,0,1,99.06840324401855
Yogi,Berra,2120.0,7555.0,1175.0,2150.0,321.0,49.0,358.0,1430.0,30.0,704.0,414.0,52.0,9.0,44.0,0.28457974851092,0.347815679233992,0.482197220383852,1,1,99.91974234580994
Craig,Biggio,2850.0,10876.0,1844.0,3060.0,668.0,55.0,291.0,1175.0,414.0,1160.0,1753.0,285.0,101.0,81.0,0.281353438764252,0.363247863247863,0.433155571901434,1,1,99.26767349243164
Wade,Boggs,2440.0,9180.0,1513.0,3010.0,578.0,61.0,118.0,1014.0,24.0,1412.0,745.0,23.0,29.0,96.0,0.327886710239651,0.414993931472318,0.442701525054466,1,1,99.75683093070984
Barry,Bonds,2986.0,9847.0,2227.0,2935.0,601.0,77.0,762.0,1996.0,514.0,2558.0,1539.0,106.0,4.0,91.0,0.298060322940997,0.444294556419616,0.606885345790596,0,1,99.01637434959412
Jim,Bottomley,1991.0,7471.0,1177.0,2313.0,465.0,151.0,219.0,1422.0,58.0,664.0,591.0,43.0,177.0,0.0,0.309597108820774,0.369283443384691,0.500200776335163,1,1,99.99912977218628
Lou,Boudreau,1646.0,6029.0,861.0,1779.0,385.0,66.0,68.0,789.0,51.0,796.0,309.0,34.0,164.0,0.0,0.295073809918726,0.380376148126549,0.414662464753691,1,1,99.99656677246094
Roger,Bresnahan,1446.0,4481.0,682.0,1252.0,218.0,71.0,26.0,530.0,212.0,714.0,403.0,67.0,112.0,0.0,0.279401919214461,0.386354998099582,0.377147958045079,1,1,99.46526288986206
George,Brett,2707.0,10349.0,1583.0,3154.0,665.0,137.0,317.0,1596.0,201.0,1096.0,908.0,33.0,26.0,120.0,0.3047637452894,0.3692878082428,0.487390085998647,1,1,99.86065030097961
Lou,Brock,2616.0,10332.0,1610.0,3023.0,486.0,141.0,149.0,900.0,938.0,761.0,1730.0,49.0,47.0,46.0,0.292586140147116,0.342599213442975,0.410181958962447,1,1,99.5110809803009
Steve,Brodie,1438.0,5703.0,886.0,1728.0,191.0,89.0,25.0,900.0,289.0,420.0,233.0,132.0,87.0,0.0,0.302998421883219,0.364508393285372,0.380852183061547,0,1,96.27758264541626
Dan,Brouthers,1676.0,6726.0,1529.0,2303.0,462.0,206.0,107.0,1301.0,257.0,840.0,238.0,105.0,20.0,0.0,0.34240261671127,0.423412853604484,0.52007136485281,1,1,99.98328685760498
Jesse,Burkett,2067.0,8426.0,1720.0,2850.0,320.0,182.0,75.0,952.0,389.0,1029.0,613.0,75.0,90.0,0.0,0.338238784713981,0.414900314795383,0.44611915499644,1,1,99.99650716781616
Roy,Campanella,1215.0,4205.0,627.0,1161.0,178.0,18.0,242.0,856.0,25.0,533.0,501.0,30.0,30.0,18.0,0.276099881093936,0.360217300459674,0.499643281807372,1,1,96.13315463066101
