First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Moises,Alou,1942.0,7037.0,1109.0,2134.0,421.0,39.0,332.0,1287.0,106.0,737.0,894.0,48.0,9.0,82.0,0.30325422765383,0.369306680161943,0.515702714224812,0,1,0.6363765597343445
Harold,Baines,2830.0,9908.0,1299.0,2866.0,488.0,49.0,384.0,1628.0,34.0,1062.0,1441.0,14.0,9.0,99.0,0.289261203068228,0.35567987007128,0.464675010092854,0,1,0.778774619102478
Ginger,Beaumont,1463.0,5660.0,955.0,1759.0,182.0,82.0,39.0,617.0,254.0,425.0,314.0,30.0,166.0,0.0,0.310777385159011,0.362060506950123,0.392579505300353,0,1,0.6928642392158508
Wally,Berger,1350.0,5163.0,809.0,1550.0,299.0,59.0,242.0,898.0,36.0,435.0,694.0,38.0,27.0,0.0,0.300213054425721,0.358942512420156,0.521595971334495,0,1,0.9906840324401855
Ossie,Bluege,1867.0,6440.0,883.0,1751.0,276.0,67.0,43.0,848.0,140.0,723.0,515.0,71.0,218.0,0.0,0.271894409937888,0.351810893005253,0.355590062111801,0,1,0.6711367964744568
Barry,Bonds,2986.0,9847.0,2227.0,2935.0,601.0,77.0,762.0,1996.0,514.0,2558.0,1539.0,106.0,4.0,91.0,0.298060322940997,0.444294556419616,0.606885345790596,0,1,0.9901637434959412
Steve,Brodie,1438.0,5703.0,886.0,1728.0,191.0,89.0,25.0,900.0,289.0,420.0,233.0,132.0,87.0,0.0,0.302998421883219,0.364508393285372,0.380852183061547,0,1,0.9627758264541626
Ellis,Burks,2000.0,7232.0,1253.0,2107.0,402.0,63.0,352.0,1206.0,181.0,793.0,1340.0,60.0,29.0,62.0,0.291344026548673,0.363323922916411,0.510370575221239,0,1,0.7441990971565247
Cupid,Childs,1457.0,5622.0,1214.0,1721.0,205.0,101.0,20.0,743.0,269.0,991.0,228.0,63.0,90.0,0.0,0.306118818925649,0.415668064709407,0.389185343294201,0,1,0.5071266889572144
Will,Clark,1976.0,7173.0,1186.0,2176.0,440.0,47.0,284.0,1205.0,67.0,937.0,1190.0,59.0,13.0,101.0,0.303359821553046,0.383555018137848,0.496584413773874,0,1,0.5993677377700806
Tommy,Corcoran,2205.0,8824.0,1189.0,2259.0,289.0,155.0,34.0,1137.0,388.0,384.0,447.0,35.0,157.0,0.0,0.256006346328196,0.289732770745429,0.335448776065277,0,1,0.9918692111968994
Doc,Cramer,2239.0,9140.0,1357.0,2705.0,396.0,109.0,37.0,842.0,62.0,572.0,345.0,41.0,180.0,0.0,0.295951859956236,0.34020301445709,0.37527352297593,0,1,0.9756733179092407
Lave,Cross,2277.0,9084.0,1338.0,2651.0,411.0,136.0,47.0,1378.0,303.0,466.0,217.0,31.0,160.0,0.0,0.291831792162043,0.328566955432627,0.382540730955526,0,1,0.9998784065246582
Johnny,Damon,2490.0,9736.0,1668.0,2769.0,522.0,109.0,235.0,1139.0,408.0,1003.0,1257.0,50.0,57.0,71.0,0.284408381265407,0.351933701657459,0.432826622843057,0,1,0.9984418749809265
Patsy,Donovan,1824.0,7505.0,1321.0,2256.0,208.0,75.0,16.0,738.0,518.0,457.0,334.0,83.0,127.0,0.0,0.300599600266489,0.347545059042884,0.354696868754164,0,1,0.6017024517059326
Jack,Doyle,1569.0,6055.0,977.0,1811.0,316.0,64.0,25.0,971.0,518.0,440.0,281.0,49.0,45.0,0.0,0.299091659785301,0.351466992665037,0.384805945499587,0,1,0.5511056780815125
Larry,Doyle,1766.0,6509.0,960.0,1887.0,299.0,123.0,74.0,793.0,298.0,625.0,378.0,53.0,195.0,0.0,0.289906283607313,0.356894392653402,0.407743124903979,0,1,0.6812627911567688
Darrell,Evans,2687.0,8973.0,1344.0,2223.0,329.0,36.0,414.0,1354.0,98.0,1605.0,1410.0,35.0,34.0,90.0,0.247743229689067,0.360926842941231,0.430848099855121,0,1,0.9479551911354065
Dwight,Evans,2606.0,8996.0,1470.0,2446.0,483.0,73.0,385.0,1384.0,78.0,1391.0,1697.0,53.0,52.0,77.0,0.271898621609604,0.369877341447181,0.470208981769675,0,1,0.5232850909233093
