Name,Team,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,playerid
Todd Helton,COL,2247,7962,1401,2519,592,37,369,1406,37,1335,1175,57,3,93,0.316,0.414,0.539,432
Alex Rodriguez,- - -,2784,10566,2021,3115,548,31,696,2086,329,1338,2287,176,16,111,0.295,0.38,0.55,1274
David Ortiz,- - -,2408,8640,1419,2472,632,19,541,1768,17,1319,1750,38,2,92,0.286,0.38,0.552,745
Bobby Abreu,- - -,2425,8480,1453,2470,574,59,288,1363,400,1476,1840,33,7,85,0.291,0.395,0.475,945
Prince Fielder,- - -,1611,5821,862,1645,321,10,319,1028,18,847,1155,124,0,61,0.283,0.382,0.506,4613
Mark Teixeira,- - -,1862,6936,1099,1862,408,18,409,1298,26,918,1441,111,0,64,0.268,0.36,0.509,1281
Scott Rolen,- - -,2038,7398,1211,2077,517,43,316,1287,118,899,1410,127,1,93,0.281,0.364,0.49,970
Jeff Kent,- - -,2298,8498,1320,2461,560,47,377,1518,94,801,1522,125,10,103,0.29,0.356,0.5,1119
Ryan Howard,PHI,1572,5707,848,1475,277,21,382,1194,12,709,1843,59,0,55,0.258,0.343,0.515,2154
Carlos Beltran,- - -,2586,9768,1582,2725,565,78,435,1587,312,1084,1795,51,18,110,0.279,0.35,0.486,589
Jayson Werth,- - -,1583,5484,883,1465,300,22,229,799,132,764,1450,64,4,50,0.267,0.36,0.455,1327
Mike Napoli,- - -,1392,4572,697,1125,224,11,267,744,39,650,1468,69,2,36,0.246,0.346,0.475,3057
Andre Ethier,LAD,1455,4800,641,1367,303,34,162,687,29,519,938,58,2,44,0.285,0.359,0.463,6265
Andruw Jones,- - -,2196,7599,1204,1933,383,36,434,1289,152,891,1748,97,6,71,0.254,0.337,0.486,96
Torii Hunter,- - -,2372,8857,1296,2452,498,39,353,1391,195,661,1741,97,6,71,0.277,0.331,0.461,731
Jacoby Ellsbury,- - -,1235,4846,749,1376,241,47,104,512,343,399,737,46,21,32,0.284,0.342,0.417,4727
Carl Crawford,- - -,1716,6655,998,1931,309,123,136,766,480,377,1067,47,34,48,0.29,0.33,0.435,1201
Marlon Byrd,- - -,1574,5579,740,1534,311,39,159,710,56,382,1234,93,17,52,0.275,0.329,0.43,950
Jhonny Peralta,- - -,1798,6599,841,1761,376,24,202,873,17,606,1450,38,13,63,0.267,0.329,0.423,1738
Carlos Ruiz,- - -,1137,3539,405,935,223,7,71,415,25,403,499,78,27,22,0.264,0.35,0.391,2579
Aaron Hill,- - -,1559,5646,736,1501,325,22,162,695,74,443,847,55,19,51,0.266,0.323,0.417,6104
Jimmy Rollins,- - -,2275,9294,1421,2455,511,115,231,936,470,813,1264,38,42,53,0.264,0.324,0.418,971
A.J. Pierzynski,- - -,2059,7290,807,2043,407,24,188,909,15,308,895,129,28,58,0.28,0.319,0.42,746
J.J. Hardy,- - -,1561,5805,718,1488,291,14,188,688,8,411,960,15,40,38,0.256,0.305,0.408,3797
Omar Vizquel,- - -,2968,10586,1445,2877,456,77,80,951,404,1028,1087,49,256,94,0.272,0.336,0.352,411
Erick Aybar,- - -,1454,5175,643,1402,256,46,58,473,155,285,670,52,75,39,0.271,0.313,0.372,4082
