Name,Team,W,L,G,GS,CG,ShO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,W%,K/BB,WHIP,ERA,playerid
Billy Wagner,- - -,47,40,853,0,0,0,422,601,232,82,300,1196,43,33,262,903,0.540229885,3.99,1,2.31,578
Jonathan Papelbon,- - -,41,36,689,3,0,0,368,572,197,57,185,808,14,34,226,725.2,0.532467532,4.37,1.04,2.44,5975
Francisco Rodriguez,- - -,52,53,948,0,0,0,437,738,310,98,389,1142,68,17,336,976,0.495238095,2.94,1.15,2.86,1642
Joe Nathan,- - -,64,34,787,29,0,0,377,690,294,84,344,976,47,23,317,923.1,0.653061224,2.84,1.12,2.87,1122
Huston Street,- - -,42,34,668,0,0,0,324,542,223,70,183,665,20,8,237,680,0.552631579,3.63,1.07,2.95,8258
Curt Schilling,- - -,216,146,569,436,83,20,22,2998,1253,347,711,3116,72,52,1318,3261,0.596685083,4.38,1.14,3.46,73
Tim Hudson,- - -,222,133,482,479,26,13,0,2957,1213,248,917,2080,84,124,1319,3126.2,0.625352113,2.27,1.24,3.49,921
Jered Weaver,- - -,150,98,331,331,14,8,0,1912,833,262,551,1621,37,55,879,2067.1,0.60483871,2.94,1.19,3.63,4235
Jake Peavy,- - -,152,126,388,377,15,6,0,2134,960,259,708,2207,46,78,1011,2377,0.54676259,3.12,1.2,3.63,1051
Matt Cain,SFG,104,118,342,331,15,6,0,1849,853,211,712,1694,70,62,910,2085.2,0.468468468,2.38,1.23,3.68,4732
Tim Lincecum,- - -,110,89,278,270,10,7,1,1506,699,147,669,1736,107,44,746,1682,0.552763819,2.59,1.29,3.74,5705
Mark Buehrle,- - -,214,160,518,493,33,10,0,3472,1391,361,734,1870,27,79,1542,3283.1,0.572192513,2.55,1.28,3.81,225
Andy Pettitte,- - -,256,153,531,521,26,4,0,3448,1418,288,1031,2448,69,55,1572,3316,0.62591687,2.37,1.35,3.85,840
John Lackey,- - -,188,147,448,446,18,8,0,2862,1236,319,815,2294,125,133,1347,2840.1,0.56119403,2.81,1.29,3.92,1507
R.A. Dickey,- - -,120,118,400,300,15,6,2,2033,930,264,663,1477,91,90,1015,2073.2,0.504201681,2.23,1.3,4.04,1245
Bronson Arroyo,- - -,148,137,419,383,16,6,1,2507,1158,347,661,1571,42,105,1260,2435.2,0.519298246,2.38,1.3,4.28,978
Ubaldo Jimenez,- - -,114,117,329,315,9,3,1,1757,901,186,848,1720,93,78,968,1870,0.493506494,2.03,1.39,4.34,3374
Joe Blanton,- - -,101,97,427,252,8,3,2,1896,860,223,467,1284,41,41,914,1767.2,0.51010101,2.75,1.34,4.38,4849
