playerID,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,WP,HBP,R,IP,Win Percentage,Strikeout to Walk,WHIP,ERA
aardsda01,16,18,331,0,0,0,69,296,160,41,183,340,12,16.0,169,337.0,0.47058823529411764,1.8579234972677596,1.4213649851632046,4.27299703264095
aasedo01,66,60,448,91,22,5,82,1085,468,89,457,641,22,7.0,503,1109.3333333333333,0.5238095238095238,1.4026258205689277,1.3900240384615385,3.7968750000000004
abadfe01,8,29,384,6,0,0,2,309,135,42,116,280,10,12.0,143,330.6666666666667,0.21621621621621623,2.413793103448276,1.285282258064516,3.6743951612903225
abbeybe01,22,40,79,65,52,0,1,686,285,18,192,161,18,26.0,442,568.0,0.3548387096774194,0.8385416666666666,1.545774647887324,4.515845070422536
abbotgl01,62,83,248,206,37,5,0,1405,627,162,352,484,18,32.0,707,1286.0,0.42758620689655175,1.375,1.3662519440124417,4.388024883359253
abbotji01,87,108,263,254,31,6,0,1779,791,154,620,888,53,32.0,880,1674.0,0.4461538461538462,1.4322580645161291,1.433094384707288,4.252688172043011
abbotky01,4,17,57,22,0,0,0,207,107,26,79,124,13,2.0,112,185.33333333333334,0.19047619047619047,1.5696202531645569,1.5431654676258992,5.196043165467626
abbotpa01,43,37,162,112,1,0,0,682,394,101,393,496,37,21.0,421,720.6666666666666,0.5375,1.262086513994911,1.4916743755781685,4.9204440333024975
aberal01,24,25,168,30,7,0,14,398,181,29,160,169,8,6.0,205,389.3333333333333,0.4897959183673469,1.05625,1.433219178082192,4.1840753424657535
abernte02,63,69,681,34,7,2,148,1010,441,70,592,765,35,45.0,513,1147.6666666666667,0.4772727272727273,1.2922297297297298,1.395875689805402,3.4583212314841703
ablesha01,1,5,14,8,4,0,0,79,32,1,30,41,5,1.0,51,71.33333333333333,0.16666666666666666,1.3666666666666667,1.5280373831775702,4.037383177570094
abreuwi01,0,1,38,0,0,0,0,57,36,10,19,38,2,2.0,39,44.333333333333336,0.0,2.0,1.7142857142857142,7.308270676691729
accarje01,10,20,262,0,0,0,38,288,136,24,111,205,10,9.0,143,284.6666666666667,0.3333333333333333,1.8468468468468469,1.401639344262295,4.299765807962529
aceveal01,31,16,204,15,0,0,29,333,162,48,129,282,5,28.0,172,380.3333333333333,0.6595744680851063,2.186046511627907,1.2147239263803682,3.8334794040315514
acevejo01,18,25,104,59,1,0,1,420,235,71,113,253,9,12.0,246,368.3333333333333,0.4186046511627907,2.2389380530973453,1.4470588235294117,5.742081447963802
aceveju01,28,40,367,34,0,0,53,597,274,72,226,350,20,28.0,316,570.0,0.4117647058823529,1.5486725663716814,1.443859649122807,4.326315789473684
achteaj01,2,1,45,0,0,0,0,69,27,13,21,33,0,1.0,30,62.0,0.6666666666666666,1.5714285714285714,1.4516129032258065,3.9193548387096775
ackerji01,33,49,467,32,0,0,30,918,399,82,329,482,31,32.0,447,904.3333333333334,0.4024390243902439,1.465045592705167,1.3789163287873203,3.970880943604865
ackerto01,19,13,153,23,5,1,8,365,174,43,150,256,6,17.0,181,380.3333333333333,0.59375,1.7066666666666668,1.3540753724802805,4.117440841367222
acostcy01,13,9,107,0,0,0,27,143,55,15,77,109,4,12.0,65,186.0,0.5909090909090909,1.4155844155844155,1.1827956989247312,2.6612903225806455
acosted01,6,9,57,8,3,1,1,153,62,12,39,70,6,4.0,71,137.66666666666666,0.4,1.794871794871795,1.394673123486683,4.053268765133172
acostjo01,10,10,55,13,6,1,4,265,107,9,68,45,4,0.0,119,213.33333333333334,0.5,0.6617647058823529,1.5609374999999999,4.5140625000000005
acostma01,13,13,233,0,0,0,9,234,110,30,117,219,14,8.0,122,248.0,0.5,1.8717948717948718,1.4153225806451613,3.9919354838709675
acrema01,9,6,114,0,0,0,2,135,73,16,68,98,3,5.0,75,127.0,0.6,1.4411764705882353,1.5984251968503937,5.173228346456693
adamja01,5,4,67,0,0,0,0,54,34,12,33,76,5,6.0,37,67.66666666666667,0.5555555555555556,2.303030303030303,1.2857142857142856,4.522167487684729
adamsac01,41,33,302,7,2,0,49,541,213,26,224,171,15,8.0,247,552.6666666666666,0.5540540540540541,0.7633928571428571,1.3841978287092884,3.468636911942099
adamsau01,2,0,68,0,0,0,1,91,54,12,34,58,1,0.0,57,75.33333333333333,1.0,1.7058823529411764,1.6592920353982301,6.451327433628318
adamsau02,2,2,41,2,0,0,0,28,18,5,29,70,6,2.0,20,42.0,0.5,2.413793103448276,1.3571428571428572,3.8571428571428568
adamsba01,194,140,482,355,206,44,15,2841,917,68,430,1036,26,47.0,1129,2995.3333333333335,0.5808383233532934,2.4093023255813955,1.0920320498553304,2.7552860004451367
adamsch01,1,2,22,1,0,0,1,62,39,11,15,33,3,2.0,41,41.666666666666664,0.3333333333333333,2.2,1.848,8.424000000000001
adamsda01,4,11,47,16,6,0,3,182,71,5,65,54,8,8.0,87,171.0,0.26666666666666666,0.8307692307692308,1.4444444444444444,3.7368421052631575
adamsjo02,5,6,44,11,0,0,0,121,60,19,37,77,0,9.0,66,110.33333333333333,0.45454545454545453,2.081081081081081,1.43202416918429,4.894259818731118
adamska01,1,9,30,12,3,0,0,119,64,5,48,62,4,2.0,72,115.0,0.1,1.2916666666666667,1.4521739130434783,5.008695652173913
adamsmi03,21,20,408,0,0,0,4,316,109,33,126,409,7,6.0,122,407.3333333333333,0.5121951219512195,3.246031746031746,1.0851063829787235,2.4083469721767594
adamste01,51,62,574,41,0,0,42,890,403,63,380,691,54,17.0,448,869.3333333333334,0.45132743362831856,1.818421052631579,1.4608895705521472,4.172162576687116
adamswi01,8,16,65,21,8,0,2,303,138,8,144,74,8,19.0,172,284.3333333333333,0.3333333333333333,0.5138888888888888,1.5720984759671748,4.368112543962486
adamswi02,6,9,25,24,1,1,0,149,87,20,55,105,4,9.0,92,134.66666666666666,0.4,1.9090909090909092,1.5148514851485149,5.814356435643565
adcocna01,2,6,56,5,0,0,1,126,57,14,56,80,6,7.0,64,123.0,0.25,1.4285714285714286,1.4796747967479675,4.170731707317073
adkinde01,2,4,38,6,1,0,0,114,62,10,50,47,3,0.0,69,99.0,0.3333333333333333,0.94,1.6565656565656566,5.636363636363637
adkingr01,12,27,67,42,19,0,1,403,175,24,156,78,4,7.0,211,363.0,0.3076923076923077,0.5,1.5399449035812671,4.338842975206611
adkinjo01,5,5,119,0,0,0,0,155,70,18,54,81,1,5.0,75,138.66666666666666,0.5,1.5,1.5072115384615385,4.543269230769231
adlemti01,9,15,43,33,0,0,0,188,106,42,71,155,1,11.0,111,192.0,0.375,2.183098591549296,1.3489583333333333,4.96875
affelje01,43,46,774,42,0,0,28,904,408,76,396,720,55,42.0,455,926.0,0.48314606741573035,1.8181818181818181,1.4038876889848813,3.9654427645788335
