playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
aardsda01,331.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,N
aaronha01,3298.0,12364.0,2174.0,3771.0,624.0,98.0,755.0,2297.0,240.0,1402.0,1383.0,32.0,21.0,121.0,0.30499838240051763,0.3739492779653711,0.5545131025558072,Y
aaronto01,437.0,944.0,102.0,216.0,42.0,6.0,13.0,94.0,9.0,86.0,145.0,0.0,9.0,6.0,0.2288135593220339,0.2915057915057915,0.3273305084745763,N
aasedo01,448.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abadan01,15.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.09523809523809523,0.24,0.09523809523809523,N
abadfe01,384.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,N
abadijo01,12.0,49.0,4.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.22448979591836735,0.22448979591836735,0.22448979591836735,N
abbated01,855.0,3044.0,355.0,772.0,99.0,43.0,11.0,324.0,142.0,289.0,283.0,33.0,93.0,0.0,0.2536136662286465,0.32501485442661915,0.3252299605781866,N
abbeybe01,79.0,225.0,21.0,38.0,3.0,3.0,0.0,17.0,3.0,21.0,54.0,0.0,6.0,0.0,0.1688888888888889,0.23983739837398374,0.2088888888888889,N
abbeych01,452.0,1756.0,307.0,493.0,67.0,46.0,19.0,280.0,93.0,167.0,122.0,23.0,19.0,0.0,0.28075170842824604,0.3509763617677287,0.4037585421412301,N
abbotda01,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,N
abbotfr01,160.0,513.0,48.0,107.0,21.0,6.0,1.0,49.0,14.0,19.0,75.0,8.0,20.0,0.0,0.20857699805068225,0.24814814814814815,0.2787524366471735,N
