Name,Team,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,playerid
Barry Bonds,- - -,2986,9847,2227,2935,601,77,762,1996,514,2558,1539,106,4,91,0.298,0.444,0.607,1109
Manny Ramirez,- - -,2302,8244,1544,2574,547,20,555,1831,38,1329,1813,109,2,90,0.312,0.411,0.585,210
Todd Helton,COL,2247,7962,1401,2519,592,37,369,1406,37,1335,1175,57,3,93,0.316,0.414,0.539,432
Gary Sheffield,- - -,2576,9217,1636,2689,467,27,509,1676,253,1475,1171,135,9,111,0.292,0.393,0.514,114
Bobby Abreu,- - -,2425,8480,1453,2470,574,59,288,1363,400,1476,1840,33,7,85,0.291,0.395,0.475,945
Sammy Sosa,- - -,2354,8813,1475,2408,379,45,609,1667,234,929,2306,59,17,78,0.273,0.344,0.534,302
Scott Rolen,- - -,2038,7398,1211,2077,517,43,316,1287,118,899,1410,127,1,93,0.281,0.364,0.49,970
Jeff Kent,- - -,2298,8498,1320,2461,560,47,377,1518,94,801,1522,125,10,103,0.29,0.356,0.5,1119
Aramis Ramirez,- - -,2194,8136,1098,2303,495,24,386,1417,29,633,1238,127,3,87,0.283,0.341,0.492,1002
Andruw Jones,- - -,2196,7599,1204,1933,383,36,434,1289,152,891,1748,97,6,71,0.254,0.337,0.486,96
Michael Cuddyer,- - -,1536,5488,809,1522,333,42,197,794,75,527,1101,49,4,34,0.277,0.344,0.461,1534
Nick Swisher,- - -,1527,5369,805,1338,307,11,245,803,13,817,1373,56,13,53,0.249,0.351,0.447,4599
Torii Hunter,- - -,2372,8857,1296,2452,498,39,353,1391,195,661,1741,97,6,71,0.277,0.331,0.461,731
Shane Victorino,- - -,1299,4630,731,1274,231,70,108,489,231,381,626,81,52,20,0.275,0.34,0.425,1677
Omar Vizquel,- - -,2968,10586,1445,2877,456,77,80,951,404,1028,1087,49,256,94,0.272,0.336,0.352,411
