Name,Team,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,playerid
Barry Bonds,- - -,2986,9847,2227,2935,601,77,762,1996,514,2558,1539,106,4,91,0.298,0.444,0.607,1109
Manny Ramirez,- - -,2302,8244,1544,2574,547,20,555,1831,38,1329,1813,109,2,90,0.312,0.411,0.585,210
Todd Helton,Rockies,2247,7962,1401,2519,592,37,369,1406,37,1335,1175,57,3,93,0.316,0.414,0.539,432
Alex Rodriguez,- - -,2784,10566,2021,3115,548,31,696,2086,329,1338,2287,176,16,111,0.295,0.38,0.55,1274
David Ortiz,- - -,2408,8640,1419,2472,632,19,541,1768,17,1319,1750,38,2,92,0.286,0.38,0.552,745
Gary Sheffield,- - -,2576,9217,1636,2689,467,27,509,1676,253,1475,1171,135,9,111,0.292,0.393,0.514,114
Bobby Abreu,- - -,2425,8480,1453,2470,574,59,288,1363,400,1476,1840,33,7,85,0.291,0.395,0.475,945
Prince Fielder,- - -,1611,5821,862,1645,321,10,319,1028,18,847,1155,124,0,61,0.283,0.382,0.506,4613
Mark Teixeira,- - -,1862,6936,1099,1862,408,18,409,1298,26,918,1441,111,0,64,0.268,0.36,0.509,1281
Sammy Sosa,- - -,2354,8813,1475,2408,379,45,609,1667,234,929,2306,59,17,78,0.273,0.344,0.534,302
Scott Rolen,- - -,2038,7398,1211,2077,517,43,316,1287,118,899,1410,127,1,93,0.281,0.364,0.49,970
Jeff Kent,- - -,2298,8498,1320,2461,560,47,377,1518,94,801,1522,125,10,103,0.29,0.356,0.5,1119
Ryan Howard,Phillies,1572,5707,848,1475,277,21,382,1194,12,709,1843,59,0,55,0.258,0.343,0.515,2154
Justin Morneau,- - -,1545,5699,772,1603,349,23,247,985,5,573,988,46,0,74,0.281,0.348,0.481,1737
Andruw Jones,- - -,2196,7599,1204,1933,383,36,434,1289,152,891,1748,97,6,71,0.254,0.337,0.486,96
Billy Butler,- - -,1414,5105,592,1479,322,5,147,728,5,500,840,34,0,47,0.29,0.354,0.441,7399
Torii Hunter,- - -,2372,8857,1296,2452,498,39,353,1391,195,661,1741,97,6,71,0.277,0.331,0.461,731
Carl Crawford,- - -,1716,6655,998,1931,309,123,136,766,480,377,1067,47,34,48,0.29,0.33,0.435,1201
Marlon Byrd,- - -,1574,5579,740,1534,311,39,159,710,56,382,1234,93,17,52,0.275,0.329,0.43,950
Jimmy Rollins,- - -,2275,9294,1421,2455,511,115,231,936,470,813,1264,38,42,53,0.264,0.324,0.418,971
Angel Pagan,- - -,1124,4084,584,1143,220,55,64,414,176,319,638,4,21,34,0.28,0.33,0.408,2918
Coco Crisp,- - -,1586,5930,877,1572,308,57,130,639,309,561,865,5,80,51,0.265,0.327,0.402,1572
A.J. Pierzynski,- - -,2059,7290,807,2043,407,24,188,909,15,308,895,129,28,58,0.28,0.319,0.42,746
Juan Uribe,- - -,1826,6161,724,1568,323,43,199,816,48,388,1224,46,63,57,0.255,0.301,0.418,454
Omar Vizquel,- - -,2968,10586,1445,2877,456,77,80,951,404,1028,1087,49,256,94,0.272,0.336,0.352,411
Michael Bourn,- - -,1361,4784,678,1272,191,69,36,361,341,445,1124,19,52,23,0.266,0.329,0.357,6387
Omar Infante,- - -,1507,5271,609,1427,260,53,82,542,80,296,776,14,64,53,0.271,0.308,0.387,1609
