playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
aaronha01,3298,12364,2174,3771,624,98,755,2297.0,240.0,1402,1383.0,32.0,21.0,121.0,0.30499838240051763,0.3739492779653711,0.5545131025558072
abbated01,855,3044,355,772,99,43,11,324.0,142.0,289,283.0,33.0,93.0,0.0,0.2536136662286465,0.32501485442661915,0.3252299605781866
abbotku01,702,2044,273,523,109,23,62,242.0,22.0,133,571.0,17.0,21.0,12.0,0.25587084148727984,0.30507706255666367,0.4227005870841487
abreubo01,2425,8480,1453,2470,574,59,288,1363.0,400.0,1476,1840.0,33.0,7.0,85.0,0.29127358490566035,0.3949771689497717,0.47476415094339625
abreujo02,961,3787,526,1114,233,14,198,671.0,10.0,263,835.0,83.0,0.0,35.0,0.2941642461050964,0.3502879078694818,0.519936625297069
ackledu01,635,2125,261,512,94,18,46,216.0,31.0,194,419.0,5.0,11.0,12.0,0.24094117647058824,0.3043664383561644,0.36705882352941177
adairje01,1165,4019,378,1022,163,19,57,366.0,29.0,208,499.0,17.0,41.0,30.0,0.25429211246578753,0.29176415535797845,0.3468524508584225
adamsbo03,1281,4019,591,1082,188,49,37,303.0,67.0,414,447.0,17.0,78.0,5.0,0.2692211993033093,0.33961840628507295,0.3680019905449117
adamsbu01,576,2003,282,532,96,12,50,249.0,12.0,234,281.0,13.0,42.0,0.0,0.2656015976035946,0.3462222222222222,0.400399400898652
adamsma01,834,2385,294,618,129,6,118,397.0,4.0,161,634.0,12.0,0.0,16.0,0.2591194968553459,0.3073038073038073,0.4666666666666667
adamssp01,1424,5557,844,1588,249,48,9,394.0,154.0,453,223.0,28.0,136.0,0.0,0.2857657009177614,0.3426631334879099,0.3527082958430808
adcocjo01,1959,6606,823,1832,295,35,336,1122.0,20.0,594,1059.0,17.0,52.0,35.0,0.2773236451710566,0.33687258687258687,0.48516500151377534
ageeto01,1129,3912,558,999,170,27,130,433.0,167.0,342,918.0,34.0,21.0,15.0,0.2553680981595092,0.31954450383453403,0.41232106339468305
ahmedni01,670,2213,277,528,112,20,60,260.0,29.0,167,456.0,12.0,11.0,23.0,0.2385901491188432,0.2927536231884058,0.3886127428829643
aikenwi01,774,2492,301,675,125,2,110,415.0,3.0,319,444.0,18.0,0.0,27.0,0.27086677367576245,0.3543417366946779,0.4550561797752809
ainsmed01,1078,3048,299,707,108,54,22,317.0,86.0,263,336.0,12.0,99.0,0.0,0.23195538057742782,0.2955160999097201,0.3244750656167979
aldremi01,930,2147,277,565,104,9,41,271.0,19.0,314,381.0,5.0,14.0,18.0,0.2631578947368421,0.355877616747182,0.37727061015370283
alexada01,662,2450,369,811,164,30,61,459.0,20.0,248,197.0,6.0,32.0,0.0,0.3310204081632653,0.39386094674556216,0.49714285714285716
alfoned01,1506,5385,777,1532,282,18,146,744.0,53.0,596,617.0,41.0,31.0,55.0,0.28449396471680594,0.3569195326641435,0.42488393686165277
alicelu01,1341,3971,551,1031,189,53,47,422.0,81.0,500,624.0,48.0,49.0,45.0,0.25963233442457817,0.3459684487291849,0.36942835557794007
allenbe01,1139,3404,357,815,140,21,73,352.0,13.0,370,424.0,8.0,24.0,17.0,0.23942420681551116,0.31403000789681496,0.3572267920094007
allenbo01,607,2216,338,534,77,45,14,306.0,53.0,297,221.0,13.0,6.0,0.0,0.24097472924187727,0.3341250989707047,0.3352888086642599
allendi01,1749,6332,1099,1848,320,79,351,1119.0,133.0,894,1556.0,16.0,19.0,53.0,0.29185091598231205,0.378067169294037,0.5336386607706886
